x1,x2,y
1.18621488,0.222276787,yes
-0.947284111,-1.097843022,yes
-0.345573595,-1.121768016,yes
0.252323755,-0.421622622,yes
-1.334505604,0.318044073,yes
-0.014412976,-1.588301294,yes
-2.139620256,1.004640177,yes
0.453247812,-0.831540573,yes
0.798411341,0.207455062,yes
-2.349213412,0.649673455,yes
-0.346597775,-0.906950193,yes
-0.767939115,-0.663906789,yes
-0.160363899,-1.081991523,yes
-2.814360155,0.850815538,yes
0.635680599,-1.362917183,yes
-2.094228368,0.425608164,yes
-2.210776757,0.654510571,yes
1.58835895,-0.215446769,yes
1.767518988,0.82802096,yes
1.827892893,0.698300792,yes
0.293278022,-0.568149955,yes
-1.441701397,0.73594573,yes
1.0379066,0.201522096,yes
1.744106167,-0.091710367,yes
0.052269428,-0.944067525,yes
-2.294968681,-0.192149502,yes
0.569616588,0.51617396,yes
1.267438998,0.469433278,yes
1.678794275,0.480114821,yes
-1.726273494,0.461788275,yes
1.120592076,0.191689683,yes
0.980766137,-0.733157482,yes
-0.871841549,1.180965548,yes
-0.262215554,-1.198473307,yes
0.855710694,-0.943636738,yes
-0.01566339,-0.683040062,yes
2.077173214,-0.46831744,yes
-1.86569496,0.88459087,yes
-0.319802278,-0.982296468,yes
1.409150056,0.401128579,yes
0.193521391,-1.357643021,yes
-1.3916723,0.37343546,yes
1.751350583,0.313854842,yes
1.521884792,0.143332745,yes
0.835315244,-0.813179482,yes
1.2831965,0.602671035,yes
0.145111307,-0.983715891,yes
-1.330377701,1.321223424,yes
0.243427926,-0.565868693,yes
-2.005462673,1.341239188,yes
0.98744421,-0.677557746,yes
-1.125530762,-0.846928691,yes
2.089448913,-0.328539186,yes
-1.878637846,-0.21227369,yes
0.398410854,-1.388340264,yes
-2.079947885,0.80680829,yes
0.840783033,0.199390538,yes
0.154449001,-1.220534976,yes
-1.984013756,0.361247763,yes
-0.432099678,-0.73154817,yes
-0.370976678,-1.800780228,yes
-0.104160133,-1.445550475,yes
1.568804733,0.913051658,yes
0.836184355,0.773588888,yes
1.340927329,0.924016872,yes
-2.147975492,0.771636401,yes
-0.003297585,-1.310525305,yes
0.129050594,-0.596169542,yes
1.37042606,1.033849468,yes
1.707700776,-0.023757666,yes
-0.28145477,-1.521178892,yes
1.077736625,0.218637146,yes
1.346004927,0.642334869,yes
-0.239097947,-0.923484785,yes
1.180432803,0.153528986,yes
-2.30113477,0.339024494,yes
0.918524788,0.440836194,yes
-1.42711782,-0.21570358,yes
1.495144554,0.230768935,yes
1.940428007,1.285561482,yes
-2.329596947,0.747308351,yes
-2.174596634,1.04279296,yes
-1.49560426,1.411373151,yes
-0.191570914,-1.219448856,yes
0.656511052,-0.009727856,yes
-1.158684762,1.329956982,yes
-1.588605388,0.658311219,yes
1.117946887,0.191366389,yes
-0.67359184,0.959124574,yes
-2.010230614,1.050185245,yes
-0.461017995,-0.992365612,yes
1.085597189,-0.486189065,yes
-1.57797056,0.386041888,yes
1.734879234,0.388203763,yes
0.984583169,0.159268067,yes
2.117680748,0.2066688,yes
0.843348328,-0.551975555,yes
0.685761565,-0.673511889,yes
1.966681052,0.089171978,yes
1.402550171,-0.537602631,yes
1.908019904,0.26722119,yes
0.491122674,-0.665298073,yes
